Name,Ratings,Review
L.Elmore,5.0 out of 5 stars,"I love to read! I love to have a book with me! I waited far too long to buy a Kindle. I do like the feel of a paper book in my hands and will still continue to buy ""real"" books but having my little Kindle along in a small purse or bag is just an enhancement to enjoying my reading. It came with 12 books all ready to go and I purchased a three book package for $6.00 in my favorite mystery genre. I also purchased the cover and it is perfect to protect the Kindle in my purse. Now, I am ready to pack my hard cover paper backs or Kindle no matter where I go or what my carry space is."
Sean and Linda Trimm,5.0 out of 5 stars,"My kindle was wrapped up in my bed sheets and I washed it! Warm water, Gain liquid soap, regular cycle. Was in a case. Had water pouring out the charging port. I freaked out. Put it in a ziplock bag with a bunch of those dry packs, the kind you get when you buy new shoes or a bag, only I actually buy them on Amazon for my photo collections. The kindle works! I have insurance on it but I don't even think I need to use it. Impressive.
Not impressed with the page turning, it's harder to turn the page with this Kindle than it was with my last one but well worth it if you're scatter-brained."
Tiro,2.0 out of 5 stars,"I am a big fan of ebooks and keep a stock of various ones collected from free libraries.
This is my first and last Kindle because:
- the device feels plastic cheap and the screen reaction time is not impressive at all
- no improvement visible to me compared to an eBook Reader from 8 years ago
- support for epub or most other formats is non existent so you have to convert them, which i find
very flimsy
- synchronization with your book library (if it's not on Amazon) via wlan is painfully clumsy
- battery life not as the vendor states but much less in particular with wlan on

Reading books with a first gen iPad is a so much more enjoyable experience - i will just stick to that."
John E. folsom,5.0 out of 5 stars,"My first Kindle was a second generation 2009 version with built in keyboard at the bottom. However, it did not take me long to make the transition as many access functions and methods of use are the same. Only a few were different and took some practice such as switching from a button page turner to a touch screen page turner. I am very happy with this new model and hope it also lasts 10 years plus too. It is very nice and user friendly.
John Folsom"
alpha89us,2.0 out of 5 stars,After owning the paperwhite for nearly a year. The battery fails to take a charge now. I was never really happy with the battery life. It seemed to need charging every week and a half. Even when the Kindle sat idle for any length of time. Luckily the battery failed two weeks before the one year dead line for replacement. Will see what happens when I contact customer support.
Natalie robello,3.0 out of 5 stars,"I have a 3rd generation kindle that i absolutely love but the batteries do not hold a charge. So i decided to buy the new paperwhite. I love it because it has backlighting, but what i do not like is that it is hard to hold because the edges around the screen do not give you much to hold on to. Besides that it is an awesome kindle.

Week 3- I am still getting used to the touch screen, but i have to say i much rather have my generation 3 in working order. I find i am turning pages when i am trying to reposition in bed, and because there are no page numbers, i find myself searching for the page i was at previously, pretty frustrating. I do love the backlighting, and i have set mine pretty low so i get sleepy as i read and not stimulate me. I wished they would have made the edges a bit wider so i can grip it better and not slip touching the screen and turn the page by accident."
k,5.0 out of 5 stars,"I bought my Paperweight Kindle about three weeks ago. I love the fact that I can order a book online and in just minutes, its on my Kindle. And at a reduced price. The Kindle is a lot less weight than most books that I read. My only problem with my Kindle is that I haven't quite mastered all its features. I like the tap feature to turn a the page both forward and back. And the dictionary feature is a good add-0n, but I still haven quite got the use of it down. I can adjust the size of the font which is very handy. I'm glad I purchased this version of Kindle...and would recommend it to anyone who enjoys reading."
Amazon Customer,1.0 out of 5 stars,"Kindle White - Had several issues for the past three weeks where Kindle White would shut off while I was reading it and then yesterday it on got stuck on ""opening up"". This KW is 5 months old. My old Kindle lasted over 5 years. hmmm."
YB,1.0 out of 5 stars,Kindle Paperwhite stopped working after 2 weeks of use. Amazon guaranteed over the phone that they will send a new device and not a refurbished one. The box with a used device came in today with the label “refurbished”.
Partly Sunny,1.0 out of 5 stars,"This is the 10th Gen Kindle, and it has a stupid power button like so many previous versions. I can't remember which version had the GOOD bottom slide power button that doesn't turn on accidentally in your bag like mine (Voyage) does, but my husband has it, and I'm envious. I am forced to keep my Kindle in a case b/c the toggle power button is on the back and any time it bumps up against something, bam, it's ON!
My other issue with this NEW Kindle - is the super crappy resolution. I put them side by side, same brightness, w/ power, and my Kindle Voyage is WAY crisper and cleaner than this new piece of garbage. Was hoping to replace mine because of the power button issue - but it's worse and the screen is worse. Don't know how they managed to do that??!!"
J.P.U.,1.0 out of 5 stars,I traded in my other kindle for the new Kindle Paperwhite with the promised of 25% off or discount toward the purchase of new Kindle. My original Kindle E-reader was valued from $15 to final amount of $5 after it had been shipped and received by Amazon. They said it was not power on. It was in really very good condition but was not fully charged when I returned it. I have never heard of the promised gift card and anything discount on my account that I can use on my next order of whatever items I need. Very disappointed.
Suzanne G. Wills,5.0 out of 5 stars,My husband and daughter are long time Kindle users. I decided to update them to the latest product features for Christmas. They loved their old Kindles but love these new ones more. They are so so much easier to hold and put into a backpack or purse. The back light for reading makes them usable in places they weren't before. They haven't has to use the fact they are waterproof yet but we both have pools and my daughter loves to read on the beach.
Librarylady,2.0 out of 5 stars,"I had an older version of paperwhite, books downloaded instantly, the screen was brighter. This newer version is ok, but I have to search for the book or author when I download a book now. Doesnt automatically download onto my home screen. Usually, I have to restart the darn thing too, after searching and finding the book. It sure isnt an improved version and I am so very disappointed. If my other ereader hadn't met with an unfortunate demise, I would still be a happy camper. Altho i would recommend an ereader, i would say if you can get an older version. This newer version kind of stinks."
Brenda Wolfe,3.0 out of 5 stars,"Love the lighter weight of the device.

Hate the fact that it fires up with more marketing material than reading material. My old Paperwhite Home Page opened to a list of the books I had downloaded. Unless I intentionally went to the kindle store to shop, it allowed me to enjoy a reading experience. Now, I need to wade past ""recommendations"" to get to my books. Having paid in full for the device, it is incredibly tacky that the d**m thing continues to seek ways to make me spend more.

Had I been aware of this aspect of the new Paperwhite, I would have stayed with the one I had. (I was seduced by the waterproof feature ... should have resisted.)"
JudiMae,5.0 out of 5 stars,"I really like the backlit screen that allows me to read without disturbing my husband with a lamp. Also, on a plane, much easier to see without regard for the relatively poor lighting there. The touch screen is very sensitive and completely different feel from my old click Kindle, so it’s taking me some time to get comfortable with that- I end up inadvertently touching the screen and changing the page, then can’t find where I was without some effort. But that is getting better with time. The battery is great! I read every day and have only charged twice since Christmas- nearly 6 weeks ago!"
assegai,1.0 out of 5 stars,"I spent hours downloading my Kindle library used my other kindle to read for 2 weeks & when it needed a recharge went to use my new paper white instead it opened I selected a book & the touchscreen wouldn't respond. At a 92% charge level. Went to try shutting it down & restarting & go to swipe to start reading, swiped - the screen flashed & went right back to swipe to start reading. Tech support said to de-register & try it after 5-10 minutes... Did that & NOTHING. In fairness, Amazon is shipping a replacement BUT that doesn't give me back the hours it took to download my books!"
Vicki LF,3.0 out of 5 stars,"This is the first Kindle that has not been satisfactory--I've had five. My main problem is with the battery life. I've had it run down three times now when I have let it sit for a while without using. That never happened before unless I hadn't used my Kindle for a long time (which is very rare). I liked the light better on my last unit, also. The whole Kindle seems to be more unpleasant to use. I wish I hadn't traded my old unit in for this one because I would go back to using it. I guess I'm just stuck with it now. I'm just unhappy because I have loved every Kindle since they came out. I'm not used to being disappointed."
musiclover3,3.0 out of 5 stars,"Well, I had the original Kindle and it died so I bought this as a replacement specifically because it was waterproof and I like reading while I float in the pool. This product is not what I consider to be waterproof. Maybe water-resistant is what they mean. I’m reading the “Water Protection” section of the little pamphlet that came with it: “Your Kindle has been tested to withstand brief accidental immersion in water under certain conditions. However, your Kindle is not intended for underwater use and may experience temporary effects from exposure to water.” That’s not waterproof. I don’t intend to use it underwater but what if I drop it and it floats to the bottom of the pool?"
sarah,5.0 out of 5 stars,"After 9 years, my original Kindle Touch finally died, I had it at the end of high school, had it all through college and many text books, and many beach trips and summers laying in the sun reading with it. It served me well, so it was time to upgrade. Not going to lie the main selling point is waterproof because my parents live on a lake and I want to float around and read, or I likely would have bought an old refurb touch model just like mine for cheap. The glare other people in reviews mention doesn’t seem bad, it was my main concern, seems similar to my old touch, just a little different because it’s face is entirely flat. I don’t have any pin holes on mine. And when I read people saying it came in a small box I didn’t realize it was really basically a nothing box! But looks like it made it safe. Hopefully this one will last me as long as my first. A big bonus for me was the case I was given with my original kindle wasn’t amazon branded, and it fits my new one just fine! So glad I didn’t spend money for another case. I’ll update as things may come up."
teufels,5.0 out of 5 stars,"In general, I like this-- it's my first kindle and the size is perfect. However it's a little laggy compared to a tablet, the pages sometimes seem to have an animation effect of shadow before revealing the next page, but I find it more irritating than reminiscent of a book. It can be a little slow to wake up, too, and apparently like lots of other people, i got a charging cable that didn't quite fit the dock on the kindle. The replacement works fine.

What I don't like is that it is still grayscale. Other kindle apps can show color, why not the kindle itself? If I had known this going in, I might not have committed right away. Waterproof is a nice touch, but color would be stellar."
Thomas Dragoon,5.0 out of 5 stars,"Much better viewing screen than the 3rd Generation unit it replaces after battery failure. Miss the page forward tabs. Learning curve adapting to new unit but once you gain familiarity with it functions well. Be careful of the trade in process and discount credit allowance towards a new unit. Had to go through a third party to contact Amazon, discuss the problem, and then receive the claimed discount. It is NOT automatically given and once you place the order good luck at obtaining the offer as advertised once you push the ""Order"" key. Google ""Amazon Customer Service"" and you will find a third party source that does an excellent job of resolving Amazon Customer Service issues."
earl j reese,4.0 out of 5 stars,I like paperwhites. I liked my old one but the battery life wasn't great for an avid reader like me. The new one is some better. I like the idea that it is water resistant so I can read it in my hot tub or by the pool without concern. I thought the back light was supposed to be adjustable but if it is I can not find that feature. All in all I am not sure I got my money's worth by trading up but I am enjoying my 6 months free of unlimited. I gave the new PW 4* but could have goe with three.
Cheryl Robb,5.0 out of 5 stars,"First off, I'd like to say that I loved my 6 year old Kindle. The best invention ever. I still read hardback books, but this little Kindle was game-changing for me. The only reason I asked for the new one is mine was freezing a lot taking too much time to turn the pages and since I read in the tub (!!) always worried about dropping it. The new one is even better. It's definitely lighter, and may I say way waaaaay faster! The downloads complete in fractions of seconds. The pages turn ever so quickly and the display top is smooth with no raised edge. I didn't think that this product could get better, but it did. I'm still keeping my old Kindle because it still works and my kids can use it for travel. Thanks ever so much for creating such a great product and updating it to make it even better."
angela,1.0 out of 5 stars,"This was bought on my account in Nov 2019 on black friday deals for a Christmas present. After this was gifted we wanted to add the accidental insurance. I called Amazon the first person after an 40 min call told me how to add the insurance. then hung up. as I tried to add the insurance it said only if I bought within the last 30 days. I called back was transferred 4 times finally was told I can add it and if I need to use the insurance and they refused to let me use it, Due to the fact I added it after the 30 days of this being bought, They would tried and refund me the 30.00"
3catz24,3.0 out of 5 stars,"I like having a touch screen and the promise of waterproofing! I have had several Kindles since 2010. Each newer one was better than the last but... This Kindle is not as easy as my last Kindle. My last had a speaker built in and was able to use text to speech independently. I could take it outside and work in the flower bed. This one requires a speaker! Yuk! Luckily I have an Echo Dot or couldn’t use in while doing other activities. It does allow a better volume control with Dot! But, Dot would read Kindle books without my Kindle. I am looking forward to using this feature in my car’s Bluetooth. I will update after use in the car."
Colin B.,4.0 out of 5 stars,"I am on my 5th kindle...only because I have lost them or shared them with family and friends. I LOVE this new blue color!! I have loved the Paperwhite since it came out so that I can read OUTDOORS!!! and I am happy to pay extra for the waterproof feature since I was with my mom when she dropped hers into the water while reading and standing on the edge of tropical waves. This is an amazing product which allows you to easily enjoy reading anywhere so it is great to have it be more resilient! BUT it is time for a redesign to MOVE THE POWER BUTTON!!! I recently used my daughters older Kindle version and was reminded that the power button used to be in the top RIGHT corner (like an iPad). It is now on the bottom edge so that everytime I stand it up to read hands free, IT TURNS OFF!! I would buy a whole new one if you would just MOVE THE POWER BUTTON!!"
Becky Lewis Thompson,1.0 out of 5 stars,"Finally started using this to listen to audible books, and repeatedly had trouble pairing earphones. Ordered 3 sets, and it wouldn't ""forget"" the one I wanted to eliminate. I was able, after struggling, to listen to 1 and a half books, and now the screen is frozen in ""waking up"" mode. I cannot turn it on, or off. Now I've lost the books that I bought for the Kindle. NOT amused."
Lisa,2.0 out of 5 stars,"i hate that the book does not have the name of the book on the top of each page. If you somehow lose the book (the library returns it at midnight!) you have to remember the exact name of the book to re download it! I don’t bu many books, just borrow them from my local library. So if I download 6 Jack Reacher books, I have no clue which book I’m reading, i know. write it down somewhere, but surely Kindle could print the name of the book at the top of the page!"
Kellie,3.0 out of 5 stars,"After having the Original Kindle for 9 years, this new PaperWhite is hard to get used to. The set up is much different and a bit more difficult to maneuver around. The screen is very touchy, the set up for your library is more difficult to locate if you have or have not already read the book. It is very small compared to the original, but it is because the keyboard is within the screen rather than a separate bar of the unit. My most important thing for you to know is that I ordered this and received it promptly, got it set up and within the first 2 weeks I opened it to read my current book and it froze up on me!! I could not do a reset or even shut off and holding the on/off/reset button for a bit, caused a dark black line vertically on the screen. Had to return to exchange and when I asked the HelpDesk gal I spoke to if this was a ""common thing"" with the new PaperWhite and her answer was ""I cannot say that"". This means to tell me it is - be cautious!"
buzz,3.0 out of 5 stars,Dont wanna give this a good or bad review because really cant use it. Got the kindle unlimited plan with this for my son on Christmas & soon as he opened it not one of the books he searched for was free. Every single one was between $4-$11. Yeah there is a whole lot of books for free but for a 13 yr old boy there isn't much he can find unless he's settling & the kindle plus the unlimited subscription is to costly to settle. Was really hoping this would work but now have to return it. I suggest searching through the free books b4 making the purchase so not to go through what I am
Michele Cross,5.0 out of 5 stars,"I love my kindle. The only thing I would like changed is the location of the on/off button. It is on the bottom, & I have to be careful not to bump it while reading b/c it turns off. It needs to be located on top, similar to an iPad. This is a minor issue. I love the convenience of being able to download books from the local library or from kindle membership. I’ve read more books in the past 4 months than ever."
Amazon Customer,3.0 out of 5 stars,"I bought this thinking I was replacing a 2015 Paperwhite when I was actually replacing a 2015 Voyager. It made me grumpy. Some of that is because of the lower content and quality level of the Paperwhite vs the Voyager, and some of that is design choices for the Paperwhite (given its cost constraints) that just seem non-ideal.

1) My most comfortable position for holding it puts my pinkie finger right on the power button. I’ve only had the thing 12 hours and already accidentally shut it off mid-read several times. (This was NEVER a problem before.). Edited to add: a brilliant friend pointed out that I could hold the thing upside down to read so that the button would be on top, away from my hand. This would be great if it worked, but the screen doesn’t seem to flip on the Paperwhite.
2) For some reason, I now have to choose between seeing only my collections (without knowing which books are unsorted into collections) or all my collections and all my (70 pages of) books, which makes finding and sorting stuff much much harder. (Before a book was either in a collection, or unsorted and visible outside the collections. Much much more useful.)
3) The Voyager has hardware buttons with tactile feedback, the Paperwhite has only screen touches to navigate. I miss the hardware.
4) There is no way to tap to move both forward and backward with a single hand (as I now realize I did ALL THE TIME on my Voyager). You can swipe back, which would be okay except...
5) The screen is under-responsive to swipes (which was also the case on the Voyager, but it mattered less because of both the hardware buttons and the better screen touch navigation zones).
6) I loved the feature on my old Voyager where the brightness auto-audjusted to the ambient light (nice and bright outside on a sunny day, dimmed to a peaceful level in bed at night). That’s not on the Paperwhite. I miss it.
7) Overall the thing feels cheaper and less nice than the Voyager. Which is maybe not surprising - it does cost less than the Voyager. But I wish my Voyager hadn’t died an ignominious death of screen lines and cycling power. Or that Amazon hadn’t killed the Voyager (presumably in favor of the Oasis, which costs $50 more than the Voyager did)."
lancerev08,3.0 out of 5 stars,"I upgraded my paperwhite to the latest mostly for the flush screen. I also like how it is thinner and smaller than the previous generation. And I was hoping with better specs and software, this new one would be snappier and more responsive.

However, the performance is about the same. There's a lag with every gesture you make, just like previous versions.

The most disappointing thing is that the text is blurrier on this version than the previous. I think it is because of the screen. The flush screen is a different material from previous generations, and it blurs the text more than the old material.

I hope the next iteration addresses this and provides clearer text. (FYI, I had the old and new Kindle next to each other with exactly the same fonts/sizes/boldness/brightness/etc. The new one is definitely blurrier.)"
CF22,2.0 out of 5 stars,"I do not like to leave negative reviews, but I was very disappointed with my purchase. I purchased the Kindle Paperwhite 8gb 10th generation.
I was able to download my existing Kindle library, including my audiobooks. The home page showed my book covers in a really grainy light grey color making it hard to read some of the titles. Everytime I swiped to the next page of my library the kindle flashes and the the page reloads. I started reading a book and ended up bumping the off button on the bottom a few times. It takes a bit for the sleep screen to open everytime you bump it. You also cannot rest it in your treadmill book rack because it rests on the off button.
It has no headphone jack so I would need to carry around my large bluetooth hadphones if I wanted to listen to a book. I did not try to listen to an audiobook, but other reviews stated it is only compatible with audible books.
If you want to read at night you need to manually turn down the brightness.
You also have to buy a separate charging jack as it only provides the micro usb cord. I am returning my kindle and may lookinto buying a prior gen as they have better reviews.
I really wanted to love it and I love Amazon, but I was disappointed in the quality of graphics, strange flashing and reloading and lack personalization."
Lauren Rose,5.0 out of 5 stars,"I'm so in love with this product. I've been an avid reader all my life but it has become painful for me. Holding a trade paperback or hardback hurts my hands. Also, In my dotage, my eyesight isn't what it used to be. The night I got my e-reader I read a book and I've been reading like mad ever since. It is comfortable to hold and I love the resolution. I've ordered a blue tooth speaker, which I'm supposed to get today, which will add another dimension to my reading enjoyment."
Kindle Customer,1.0 out of 5 stars,I was very disappointed. The battery lasted 48 hours on a full charge. I sent it back
Clarinetist,4.0 out of 5 stars,"I've had a number of Kindles and find this one to be on par with the others. I do think it has a number of improvements: access to settings is easier, not as heavy, waterproof...

I find the battery lasts just as long, if not longer; however, I don't listen to audiobooks.

The two drawbacks for me: The light doesn't turn down as low as in previous versions and at its lowest is brighter than I would like at night; and when you first turn it on, the light is like a flashlight until it turns down to your setting. I literally turn the Kindle away from me when I first open it at night. What the heck Amazon?"
judyannemt,5.0 out of 5 stars,"I never thought I'd prefer an e-book reader over an actual book, but I do. Usually, the only time I get a chance to read is when I'm in bed. With a real book, I'd fall asleep and the book would fall, losing my place. That doesn't happen with the Kindle. Also, I have a whole library full of books at my disposal, in one small device. As far as the Kindle Paperwhite listed here, I take it with me when I go out of town every other week. I have an Oasis at home, which I love, but my husband built a stand for me on my bed, and it's a pain to get the Oasis out every other week, so I bought this. I wish this had the page turning buttons, like the Oasis, but touching the page works, too."
Pete,3.0 out of 5 stars,"I’m really enjoying my kindle. I really like the minimalist feel and weight, very easy to travel with and love the non glare display because I am outside often.
My only complaint is my understanding was that you could get a week on one charge (I’m sure this is under ideal conditions but I’m finding myself charging every 2-3 days. In this case I would have just stuck with using my iPad which is about how often I charge it."
B. Schrader,4.0 out of 5 stars,Unfortunately the new kindle has not impressed me. I find that I havee to swipe pages more than onceto get them to move. The biggest disappointment was the battery life. I had a previous version that is aprox 2 years old. I was finding hat I had to recharge more frequently as time moved on. I read in short sperts while waiting for traffic or waiting for an appointment. Then I read in extended time periods6-7 hours. I am having to charge daily. I am also concerned about always having to use the on button vs just opening the cover. Seems more annying at the present time. I still love my Kindle and read no less.
Erin,5.0 out of 5 stars,"I've seen a few reviews complaining about this products battery life, but I think we all need to remember it *IS* an electronic device. The more you use it in a day the shorter the battery life will be. I've had mine going on 7 weeks....and though I read at least an hour a day (5 or 6 hours on my days off) I've only had to charge my paperwhite 3 times. That's pretty decent in my mind. I love the convenience of having a device I can turn the background light on and off on. When I don't need the light I don't use it. When I do I've not found it necessary to go above 10 on the lighting scale. If I were to suggest anything, it would be to maybe have a feature where the light only comes on from like 10pm to 6am. That way we as consumers do not forget to turn off the light. :D"
Iron Mans Mom,2.0 out of 5 stars,I thought I would love this device with my addiction to the written and spoken word. But the power button placement is stupid and I gave up on the device after the last time I inadvertently shut the device off while I was reading. I should have returned it as it’s gathering dust on my bedside table on top of the Kindle 10. I’m still reading and listening on my iPhone. Which I wanted to stop with the purchase of the Kindles. Literally I gave away two iPads for Kindles. I learned my lesson. I just hate it was a four hundred dollar course!
Marge hislop,5.0 out of 5 stars,"I read a lot and it’s great that I can fit my kindle into my purse. It’s always there ready for me to read when I have to wait at the doctors office, when I go to the restaurant on my own, even just sitting in my car with a cup of coffee. With the extra room in my memory I can download as many books as I want and the ability to adjust the backlight is really helpful. I haven’t been able to read a hardbound book for years due to my limited vision, so thank you for providing a book I can enlarge the print to whatever is most comfortable. In short, my Kindle my constant companion and I love it."
SandyR,4.0 out of 5 stars,This is my fifth kindle (3rd paper white). Obviously I am a fan. I read at least a couple hours a day. When I close the case it stays on so unless I remember to shut it off with the button the battery is dead when I get back to reading. When I push on it says waking up and that takes a minute. Cumbersome This version seems slower. Do like the lighter weight. I always expect the newer version to enhance my experience. This didn’t do it
Alec M,4.0 out of 5 stars,I like the size and weight of new paperweight. I did appreciate reading with it near water without worrying. The audio portion is neat but I found myself still using my air pods to listen to audiobooks on my iPhone. I think the touch screen isn’t as responsive as it could be. The paper white is meant for its case it’s house it turns off and on it sleeps rather easier otherwise power button to wake before swiping up. Browsing for books is easier on kindle app on iOS so I usually look that way then ad book to collection before finding it with enough swipes in my paper white I’ll not likely buy another one. For I can get a better experience from an iPad mini
Brenda TN,1.0 out of 5 stars,Very dissatisfied with the new Kindle paper white. Mine would overheat if I sat out by the pool yet it advertises that is waterproof and great for the pool. My older paperwhite never had this problem and I read outside all the time. I talked to Amazon and they told me to send it in. I have had it 6 months and it is under warranty. I sent it in and went without it for a couple of weeks. They said they fixed it and returned it. I went out and was outside reading maybe 30 minutes and got the warning again. I called Amazon and they are sending me a new one. But they are sending a refurbished one. So it will be an used Kindle. I think they should have replaced the defective with a new one. Very unhappy with the situation
Vespero,4.0 out of 5 stars,"Updating from my first-gen Paperwhite, I found this to be very nice. The flat screen is wonderful and gets rid of the issue I had with dirt getting between the screen and casing with my old one.

However, there are some downsides which are shameful in this day and age. First of all, it's still Micro USB rather than USB-C, which seems bizarrely archaic given its release date and the ease of the new standard. This means, when travelling, I have to bring another cord specifically for it. Secondly, I don't buy my books through Amazon, and for some reason Amazon refuses to remember Collections for books that are transferred to the device via USB. For some reason, if you use their email system (which is terribly slow, especially when dealing with large numbers of books) they'll let you keep your Collections, but otherwise they don't track them AND they notify you that they're not tracking them whenever you mess with them. The least they could do is make Collections editable by third-party programs, or include a method of organizing books via the computer. The ability to look-up 3rd party ebooks on Goodreads would be great.

My last complaint (and this is relatively minor) is that when waking up, the device turns on its back-light very brightly before adjusting down to my personal settings (which I keep rather low). This has the tendency of making my screen seem too-dim for a while until my eyes re-adjust to it."
Alisia,5.0 out of 5 stars,I really loved my third generation kindle and was so disappointed when it broke a few months ago. I got this on the Black Friday sale after reading some of the reviews I was nervous I wasn’t going to love it as much. But I do! It’s amazing. A good sized fit in my hands. The case I got with it is beautiful. I love that it is compatible with audible however there’s no speaker on the device and no headphone jack so you have to use Bluetooth headphones or a Bluetooth speaker. I do wish there was a speaker since I have little kids and I don’t normally use my BT headphones when they are awake during the day but using my BT speaker with it has been working just fine.
The Corfu,2.0 out of 5 stars,"I received the Kindle as a gift. Generally, it is good and performs well. However, the included micro USB cable won't fit in the Kindle to charge it. The cable can only physically fit in one way. I didn't want to exert too much force on it and break the Kindle but the Amazon supplied cable won't fit. Fortunately, I had an Anker micro USB cable. It works fine.

Amazon contacted me and sent a replacement cable at no charge. The new cable works fine. The cable has been the only problem I have encountered."
Chad,5.0 out of 5 stars,"I got a kindle fire tablet and frankly I hate it (but that's a different review). It left me wanting something better to read on. I used my phone for a while but that didn't work well either. The other day the Kindle Paperwhite was on sale so I couldn't resist. This device is light, just the right size, the screen is great to read on. The only minor complaint I have is that the device doesn't seem to have page curl. I know that's a little thing but it's a nice little feature that makes it feel more like reading a book. That's pretty much my only complaint and that might get fixed with some future update of the software. I don't do audio books but if you do this requires you to hook it up to an external bluetooth speaker."
Margie,5.0 out of 5 stars,"I really like the Paperwhite over the Kindle Fire, but I have a few issues with it. It is a little sensitive (?) or choppy to the touch. I don't understand why it blinks to a black screen with white type every time I turn a page. At times I have wanted to back up to reread something, but the pages don't want to turn smoothly and I end up at some place I didn't want to go. I'm not sure if it is defective or not? Does anyone have any tips for me?

I do SO love how small and light it is. I can't wait to sit outside with it and read with no glare! I live in a colder climate, so I look forward to the warmer weather."
NYC Shopper,1.0 out of 5 stars,"This piece of technology has turned into a regular annoyance. I just want to read my book - I turn on this Kindle, and it gives me 3 absurd choices: cancel.....restart....or close. Not mutually exclusive, and no, I don't want to do ANY of those. I just want to read. You have to choose one of them, and regardless of which you choose it goes into an infuriating loop of turning off...…….then turning on...….then off again...…..and back on again...…...and it finally stays on....then it goes off again. This can last for 10-15 mins. What an annoying, frustrating, badly designed or manufactured piece of uselessness."
James F. Policke,2.0 out of 5 stars,"This generation is not really a great step forward in Kindle evolution. It claims to be waterproof which I don’t intend to test. The enlarged memory isn’t much of an improvement unless you expect to be out of WiFi range for an extended period. The “Waking up” lag upon startup is new and slightly annoying. It fits in my Gen 3 paperwhite case, but no longer has the neat magnetic activate-on-open feature that my Gen 3 had. This would be less of an issue if the power button wasn’t microscopic and hard to find in the dark. The screen contrast doesn’t seem as high. If Amazon had been able to re-synch my Gen 3 properly I’d still be using it, especially after trying this new one."
somanybookssolittletime,2.0 out of 5 stars,"I have had a major issue with connecting to the device via Bluetooth. I have paired my Apple AirPods with the device and every time I pick up my kindle to read again it sees the AirPods as the Bluetooth device but repeatedly says try again or make sure the AirPods are in range, When I literally have them in my ears while holding the kindle. This connectivity issue has certainly been my biggest frustration with the device. If I listen to the book from the kindle app on my phone I can follow along on screen. However, when listening from the kindle I can not. I plan to call about the issue with the Bluetooth because every single time it says Bluetooth connection failed and after 10 minutes of trying to connect I finally go through forget this device and re-pair the device and finally it will connect but this is insane to have to do this every single day. I’ve never had this type issue with any other device. The battery life is pretty good as stated. I don’t care very much for the light because I prefer the screen to look like paper not a lighted display. Overall I am disappointed about the Bluetooth being so frustrating every single day. I’m not sure if I have a defective device or if this is an issue with all kindles of this version."
LowellChief,3.0 out of 5 stars,"While far better than my previous paperwhite, the battery is ""ok"". But I have only had it for a week or so. Ask me again in 2 months."
Samantha,4.0 out of 5 stars,"I ordered the new Kindle, as my Kindle 2 (9 years old) just recently bit the dust. I was very excited about this new one being waterproof and having a backlight. I recieved it the day it was released and have already read several books. The only reason I didn’t give it 5 stars is because it arrived with a small defect. There is a small spot on the bottom of the screen that looks like there are missing pixels and the backlight shines through majorly. It’s small and I’m the bottom corner so I decided not to return the Kindle at the time since I was so anxious to start reading again. There is that defect though so can only give 4 stars. Attaching picture."
Debra,5.0 out of 5 stars,"I always have loved my Kindle and really did not need an upgrade. BUT glad I decided to go for it. It's brighter. Easier to read with more font selections. I just seem to be enjoying it more. Doesn't exactly fit into the case I already owned and loved. The solution was easy - just sharing - put a piece of cardboard into the holder first. Cause the new Kindle is slightly thinner then the old.
Worked well - holds everything in place. When I travel I'll just carry it cause it is lighter then the older versions.
love it"
S. Adamak,5.0 out of 5 stars,"I just got my device yesterday, so at this point, all is working well. setup was easy. I upgraded from like a Gen5 kindle to this, so the upgrades are NICE! I like the layout of the menus and the screens - my other kindle was very basic and not so intuitive. the battery life - we will see how it goes. it came with a 50% charge, and I charged it up to 100%. after about an hour or so of playing around with it, it was down to 89%. I keep the Bluetooth OFF to save battery. and usually the light I have set lower to reduce eye strain.
so far so good! i'm liking this generation of kindle :)"
StacyT,5.0 out of 5 stars,"This is the best investment I’ve ever made. I’m an avid reader and this works so well. The lighting is always perfect whether I’m reading in daylight or at night. It is much more lightweight than my tablet too. I don’t agree with the battery lasting for “weeks.” On the weekend I usually read for a solid 6-8 hours. It lasts about 3 days. Longer if I read less. If you take it on vacation, definitely take your charger. Everything else is fantastic. The screen is really crisp. The only other thing I could wish for is a colored screen so I could fully appreciate the book covers."
RBY,4.0 out of 5 stars,"First: I like the P.W and recommend it! But ... I have had one or more updates a week and that off/login button location absolutely is in a poor location. It is so sensitive that just holding it in your right hand with you pinky at the bottom will cause it to ask you if you want to reboot and if you take you eyes off the screen - bam, a reboot. The older non P.W. had much longer lasting battery. Button on top would be better."
Anne Higgins,5.0 out of 5 stars,"This Paperwhite replaces a Paperwhite I bought exactly one year ago. I gave that one to a friend. This one is so much better. The touchscreen is more responsive, lighting in it is a better technology than my last one, and the page turns/changes are faster. Again, this is a much better Paperwhite than the one I had bought exactly one year ago! The battery life is A LOT longer. I use my Paperwhite every day for at least three or four hours."
S N,5.0 out of 5 stars,Just been using the kindle for 3 days and have not had any trouble using it. Looking forward to using the extra memory as I have a large library of kindle books and I do enjoy rereading my favorites.
